_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,MONTH,YEAR
25300,TO,724,Apr-19,Apr,2019
25301,ET,235,May-19,May,2019
25302,NY,336,May-19,May,2019
25303,SC,285,May-19,May,2019
25304,TO,879,May-19,May,2019
25305,ET,242,Jun-19,Jun,2019
25306,NY,315,Jun-19,Jun,2019
25307,SC,280,Jun-19,Jun,2019
25308,TO,901,Jun-19,Jun,2019
25309,ET,308,Jul-19,Jul,2019
25310,NY,407,Jul-19,Jul,2019
25311,SC,323,Jul-19,Jul,2019
25312,TO,1079,Jul-19,Jul,2019
25313,ET,281,Aug-19,Aug,2019
25314,NY,384,Aug-19,Aug,2019
25315,SC,329,Aug-19,Aug,2019
25316,TO,1011,Aug-19,Aug,2019
25317,ET,220,Sep-19,Sep,2019
25318,NY,247,Sep-19,Sep,2019
25319,SC,221,Sep-19,Sep,2019
25320,TO,738,Sep-19,Sep,2019
25321,ET,150,Oct-19,Oct,2019
25322,NY,228,Oct-19,Oct,2019
25323,SC,172,Oct-19,Oct,2019
25324,TO,576,Oct-19,Oct,2019
25325,ET,120,Nov-19,Nov,2019
25326,NY,198,Nov-19,Nov,2019
25327,SC,156,Nov-19,Nov,2019
25328,TO,433,Nov-19,Nov,2019
25329,ET,122,Dec-19,Dec,2019
25330,NY,187,Dec-19,Dec,2019
25331,SC,153,Dec-19,Dec,2019
25332,TO,393,Dec-19,Dec,2019
25333,ET,130,Jan-20,Jan,2020
25334,NY,168,Jan-20,Jan,2020
25335,SC,171,Jan-20,Jan,2020
25336,TO,426,Jan-20,Jan,2020
25337,ET,130,Feb-20,Feb,2020
25338,NY,184,Feb-20,Feb,2020
25339,SC,160,Feb-20,Feb,2020
25340,TO,434,Feb-20,Feb,2020
25341,ET,101,Mar-20,Mar,2020
25342,NY,122,Mar-20,Mar,2020
25343,SC,99,Mar-20,Mar,2020
25344,TO,294,Mar-20,Mar,2020
25345,TO,47,Apr-20,Apr,2020
25346,TO,123,May-20,May,2020
25347,NY,167,Jun-20,Jun,2020
